track,fast_driver,fast_lap_time,slow_driver,slow_lap_time,time_gap,corner,brake_delta,apex_throttle_delta,duration_delta,fast_brake,slow_brake,fast_apex_throttle,slow_apex_throttle,time_lost_sec
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,1,4.025000000000006,0.11000000000000032,-18,93.47,97.495,2.44,2.5500000000000003,-0.72
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,2,-36.245000000000005,0.14000000000000012,7,124.89,88.645,2.44,2.58,0.28
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,3,-0.7149999999999963,0.04999999999999982,10,58.735,58.02,2.46,2.51,0.4
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,4,-7.399999999999999,0.13000000000000034,47,58.675,51.275,2.42,2.5500000000000003,1.8800000000000001
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,5,-61.989999999999995,0.1200000000000001,5,138.41,76.42,2.42,2.54,0.2
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,6,11.094999999999999,0.18999999999999995,-56,58.125,69.22,2.39,2.58,-2.24
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,7,-54.675,0.06999999999999984,47,118.295,63.620000000000005,2.46,2.53,1.8800000000000001
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,8,34.155,0.10999999999999988,17,66.365,100.52,2.43,2.54,0.68
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,9,-33.72500000000001,0.2999999999999998,-4,110.59,76.865,2.48,2.78,-0.16
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,10,3.9200000000000017,0.0900000000000003,3,73.69,77.61,2.46,2.5500000000000003,0.12
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,11,-27.845,0.22999999999999998,-2,120.75,92.905,2.49,2.72,-0.08
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,12,32.655,0.1299999999999999,-37,61.3,93.955,2.5,2.63,-1.48
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,13,18.72500000000001,-0.18999999999999995,12,70.425,89.15,2.74,2.5500000000000003,0.48
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,14,-53.395,0.29000000000000004,-18,103.4,50.005,2.44,2.73,-0.72
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,15,1.8150000000000048,0.10999999999999988,17,44.025,45.84,2.43,2.54,0.68
Sebring,GR86-033-46,145.653,GR86-013-80,148.592,2.9390000000000214,16,10.439999999999998,0.06000000000000005,63,47.06,57.5,2.46,2.52,2.52
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,1,-6.474999999999994,0.06000000000000005,-4,93.47,86.995,2.44,2.5,-0.16
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,2,-124.89,19.86,-5,124.89,0.0,2.44,22.3,-0.2
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,3,53.790000000000006,-0.95,-33,58.735,112.525,2.46,1.51,-1.32
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,4,53.655,0.08999999999999986,10,58.675,112.33,2.42,2.51,0.4
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,5,-98.82499999999999,0.16000000000000014,24,138.41,39.585,2.42,2.58,0.96
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,6,53.334999999999994,0.2799999999999998,-58,58.125,111.46,2.39,2.67,-2.32
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,7,-6.364999999999995,0.08000000000000007,-9,118.295,111.93,2.46,2.54,-0.36
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,8,44.44000000000001,0.1200000000000001,-1,66.365,110.805,2.43,2.5500000000000003,-0.04
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,9,4.625,0.1299999999999999,-1,110.59,115.215,2.48,2.61,-0.04
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,10,44.775000000000006,-0.78,8,73.69,118.465,2.46,1.68,0.32
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,11,-2.7900000000000063,0.1499999999999999,-4,120.75,117.96,2.49,2.64,-0.16
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,12,48.91,0.10999999999999988,-2,61.3,110.21,2.5,2.61,-0.08
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,13,44.75500000000001,-0.20000000000000018,42,70.425,115.18,2.74,2.54,1.68
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,14,-0.21000000000000796,0.27,16,103.4,103.19,2.44,2.71,0.64
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,15,69.91999999999999,0.27,1,44.025,113.945,2.43,2.7,0.04
Sebring,GR86-033-46,145.653,GR86-015-31,147.274,1.6210000000000093,16,70.715,0.10000000000000009,11,47.06,117.775,2.46,2.56,0.44
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,1,-30.125,2.6999999999999997,-58,93.47,63.345,2.44,5.14,-2.32
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,2,-48.05499999999999,0.050000000000000266,57,124.89,76.83500000000001,2.44,2.49,2.2800000000000002
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,3,-58.735,2.0600000000000005,-30,58.735,0.0,2.46,4.5200000000000005,-1.2
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,4,47.72,2.91,-36,58.675,106.395,2.42,5.33,-1.44
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,5,-22.42,0.07000000000000028,24,138.41,115.99,2.42,2.49,0.96
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,6,-58.125,1.4299999999999997,-69,58.125,0.0,2.39,3.82,-2.7600000000000002
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,7,-74.07,0.020000000000000018,33,118.295,44.225,2.46,2.48,1.32
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,8,43.63000000000001,0.020000000000000018,58,66.365,109.995,2.43,2.45,2.32
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,9,-4.165000000000006,1.2200000000000002,-6,110.59,106.425,2.48,3.7,-0.24
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,10,33.05500000000001,0.03000000000000025,44,73.69,106.745,2.46,2.49,1.76
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,11,-18.799999999999997,0.07999999999999963,7,120.75,101.95,2.49,2.57,0.28
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,12,13.14,0.020000000000000018,9,61.3,74.44,2.5,2.52,0.36
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,13,46.465,-0.27,68,70.425,116.89,2.74,2.47,2.72
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,14,-42.345000000000006,0.040000000000000036,18,103.4,61.055,2.44,2.48,0.72
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,15,-44.025,45.51,2,44.025,0.0,2.43,47.94,0.08
Sebring,GR86-033-46,145.653,GR86-024-41,147.261,1.608000000000004,16,42.239999999999995,0.41000000000000014,-44,47.06,89.3,2.46,2.87,-1.76
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,1,0.09000000000000341,0.2400000000000002,-63,93.47,93.56,2.44,2.68,-2.52
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,2,-71.925,-0.040000000000000036,90,124.89,52.965,2.44,2.4,3.6
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,3,51.32000000000001,0.1499999999999999,35,58.735,110.055,2.46,2.61,1.4000000000000001
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,4,-13.125,0.10000000000000009,6,58.675,45.55,2.42,2.52,0.24
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,5,-30.519999999999996,0.040000000000000036,86,138.41,107.89,2.42,2.46,3.44
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,6,53.209999999999994,0.11999999999999966,32,58.125,111.335,2.39,2.51,1.28
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,7,-31.235,0.3400000000000003,-10,118.295,87.06,2.46,2.8000000000000003,-0.4
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,8,14.345000000000013,0.040000000000000036,-7,66.365,80.71000000000001,2.43,2.47,-0.28
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,9,-19.625,0.010000000000000231,65,110.59,90.965,2.48,2.49,2.6
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,10,-73.69,49.43,-31,73.69,0.0,2.46,51.89,-1.24
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,11,-46.935,0.5099999999999998,51,120.75,73.815,2.49,3.0,2.04
Sebring,GR86-033-46,145.653,GR86-025-47,147.715,2.062000000000012,12,26.200000000000003,-0.009999999999999787,29,61.3,87.5,2.5,2.49,1.16
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,1,-28.659999999999997,-0.18999999999999995,7,93.47,64.81,2.44,2.25,0.28
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,2,-124.89,34.190000000000005,-4,124.89,0.0,2.44,36.63,-0.16
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,3,51.260000000000005,-0.18999999999999995,25,58.735,109.995,2.46,2.27,1.0
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,4,-58.675,3.84,-22,58.675,0.0,2.42,6.26,-0.88
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,5,-138.41,39.68,-10,138.41,0.0,2.42,42.1,-0.4
Sebring,GR86-033-46,145.653,GR86-035-11,148.13,2.477000000000004,6,-35.754999999999995,0.10999999999999988,-28,58.125,22.37,2.39,2.5,-1.12
