corner_num,start_idx,apex_idx,end_idx,corner_duration,entry_throttle,apex_throttle,min_throttle,exit_throttle,max_brake,brake_duration,apex_lateral_g,avg_steering_angle,throttle_application_point,vehicle_id,lap,lap_time,track,race
1,128,148,183,55,54.36,2.5500000000000003,2.5500000000000003,90.3,97.495,37,0.217,27.785714285714285,128,GR86-013-80,4,148.592,Sebring,Race 1
2,393,410,420,27,31.41,2.58,2.58,95.3,88.645,28,0.114,7.132142857142857,411,GR86-013-80,4,148.592,Sebring,Race 1
3,422,433,477,55,20.63,2.51,2.51,88.35000000000001,58.02,42,0.593,58.175000000000004,476,GR86-013-80,4,148.592,Sebring,Race 1
4,563,584,659,96,50.48,2.5500000000000003,2.5500000000000003,81.55,51.275,18,1.007,66.54948453608249,563,GR86-013-80,4,148.592,Sebring,Race 1
5,1006,1025,1042,36,46.38,2.54,2.54,93.45,76.42,35,0.019,1.4945945945945949,1030,GR86-013-80,4,148.592,Sebring,Race 1
6,1043,1050,1066,23,42.91,2.58,2.58,87.39,69.22,24,0.082,3.975,1053,GR86-013-80,4,148.592,Sebring,Race 1
7,1067,1078,1135,68,78.03,2.53,2.53,86.79,63.620000000000005,22,0.603,82.21739130434781,1067,GR86-013-80,4,148.592,Sebring,Race 1
8,1516,1569,1592,76,67.72,2.54,2.54,96.63,100.52,58,0.799,30.832467532467533,1516,GR86-013-80,4,148.592,Sebring,Race 1
9,1854,1863,1866,12,24.98,2.78,2.78,95.18,76.865,13,0.371,11.476923076923079,1865,GR86-013-80,4,148.592,Sebring,Race 1
10,1867,1903,1918,51,33.5,2.5500000000000003,2.5500000000000003,99.81,77.61,29,1.252,49.42884615384615,1878,GR86-013-80,4,148.592,Sebring,Race 1
11,2267,2278,2281,14,37.95,2.72,2.72,99.87,92.905,12,0.04,1.2600000000000002,2280,GR86-013-80,4,148.592,Sebring,Race 1
12,2282,2292,2295,13,57.14,2.63,2.63,98.08,93.955,14,0.305,10.142857142857142,2282,GR86-013-80,4,148.592,Sebring,Race 1
13,2296,2310,2326,30,76.59,2.5500000000000003,2.5500000000000003,81.15,89.15,19,0.8240000000000001,48.064516129032256,2296,GR86-013-80,4,148.592,Sebring,Race 1
14,2426,2435,2437,11,76.67,2.73,2.73,91.0,50.005,9,0.624,7.5,2426,GR86-013-80,4,148.592,Sebring,Race 1
15,2439,2449,2468,29,19.6,2.54,2.54,84.78,45.84,13,0.85,50.87,2467,GR86-013-80,4,148.592,Sebring,Race 1
16,2920,2942,3041,121,76.21000000000001,2.52,2.52,83.74,57.5,66,0.721,33.68524590163935,2920,GR86-013-80,4,148.592,Sebring,Race 1
1,133,167,202,69,14.28,2.5,2.5,99.38,86.995,32,1.18,43.96571428571428,141,GR86-015-31,5,147.274,Sebring,Race 1
2,212,220,227,15,79.51,22.3,22.3,99.77,0.0,0,0.948,70.89375000000001,212,GR86-015-31,5,147.274,Sebring,Race 1
3,387,388,399,12,57.46,1.51,1.51,95.42,112.525,13,0.044,17.607692307692307,387,GR86-015-31,5,147.274,Sebring,Race 1
4,400,409,459,59,6.3100000000000005,2.51,2.51,94.43,112.33,19,0.676,79.22333333333333,458,GR86-015-31,5,147.274,Sebring,Race 1
5,531,547,586,55,27.22,2.58,2.58,93.38,39.585,15,1.049,69.34107142857142,584,GR86-015-31,5,147.274,Sebring,Race 1
6,934,952,955,21,44.74,2.67,2.67,84.34,111.46,22,0.054,3.504545454545455,955,GR86-015-31,5,147.274,Sebring,Race 1
7,957,961,969,12,13.97,2.54,2.54,83.9,111.93,13,0.002,3.6307692307692303,969,GR86-015-31,5,147.274,Sebring,Race 1
8,970,1011,1028,58,8.06,2.5500000000000003,2.5500000000000003,84.46000000000001,110.805,42,1.15,64.84576271186441,994,GR86-015-31,5,147.274,Sebring,Race 1
9,1403,1415,1418,15,35.67,2.61,2.61,99.82,115.215,16,0.005,6.481249999999999,1417,GR86-015-31,5,147.274,Sebring,Race 1
10,1420,1420,1476,56,1.68,1.68,1.68,86.3,118.465,40,0.012,55.20175438596491,1474,GR86-015-31,5,147.274,Sebring,Race 1
11,1737,1745,1749,12,16.96,2.64,2.64,99.1,117.96,13,0.409,15.60769230769231,1748,GR86-015-31,5,147.274,Sebring,Race 1
12,1751,1766,1799,48,2.87,2.61,2.61,99.58,110.21,17,0.963,59.76734693877551,1798,GR86-015-31,5,147.274,Sebring,Race 1
13,2127,2156,2187,60,59.73,2.54,2.54,99.48,115.18,31,0.8170000000000001,34.24262295081967,2127,GR86-015-31,5,147.274,Sebring,Race 1
14,2271,2290,2316,45,34.49,2.71,2.71,99.78,103.19,17,1.181,42.6804347826087,2315,GR86-015-31,5,147.274,Sebring,Race 1
15,2766,2776,2779,13,11.36,2.7,2.7,95.38,113.945,14,0.707,10.9,2778,GR86-015-31,5,147.274,Sebring,Race 1
16,2780,2793,2849,69,49.85,2.56,2.56,86.98,117.775,49,0.614,35.73571428571429,2795,GR86-015-31,5,147.274,Sebring,Race 1
1,126,139,141,15,37.94,5.14,5.14,88.32000000000001,63.345,13,0.338,9.35,141,GR86-024-41,5,147.261,Sebring,Race 1
2,142,206,219,77,48.7,2.49,2.49,95.94,76.83500000000001,14,1.29,57.23717948717949,218,GR86-024-41,5,147.261,Sebring,Race 1
3,230,233,245,15,56.14,4.5200000000000005,4.5200000000000005,99.86,0.0,0,1.148,82.19375000000001,230,GR86-024-41,5,147.261,Sebring,Race 1
4,391,401,404,13,47.16,5.33,5.33,92.88,106.395,14,0.115,5.492857142857143,403,GR86-024-41,5,147.261,Sebring,Race 1
5,405,438,460,55,6.26,2.49,2.49,98.05,115.99,35,0.864,64.48392857142856,415,GR86-024-41,5,147.261,Sebring,Race 1
6,465,472,475,10,64.97,3.82,3.82,95.66,0.0,0,1.383,108.44545454545455,465,GR86-024-41,5,147.261,Sebring,Race 1
7,554,587,608,54,22.37,2.48,2.48,94.23,44.225,16,1.164,64.49818181818183,602,GR86-024-41,5,147.261,Sebring,Race 1
8,971,1037,1088,117,34.75,2.45,2.45,90.47,109.995,73,0.8280000000000001,50.2084745762712,975,GR86-024-41,5,147.261,Sebring,Race 1
9,1450,1457,1460,10,51.91,3.7,3.7,96.11,106.425,10,0.021,2.0363636363636366,1450,GR86-024-41,5,147.261,Sebring,Race 1
10,1461,1505,1553,92,36.14,2.49,2.49,84.87,106.745,49,0.959,43.765591397849455,1542,GR86-024-41,5,147.261,Sebring,Race 1
11,1778,1798,1801,23,73.75,2.57,2.57,99.24,101.95,22,0.556,7.904166666666666,1778,GR86-024-41,5,147.261,Sebring,Race 1
12,1802,1821,1861,59,69.36,2.52,2.52,93.23,74.44,18,0.936,52.629999999999995,1802,GR86-024-41,5,147.261,Sebring,Race 1
13,2185,2215,2271,86,34.04,2.47,2.47,97.89,116.89,40,0.769,42.78390804597701,2194,GR86-024-41,5,147.261,Sebring,Race 1
14,2349,2376,2396,47,41.01,2.48,2.48,98.94,61.055,20,1.238,37.80625,2395,GR86-024-41,5,147.261,Sebring,Race 1
15,2428,2434,2442,14,76.81,47.94,47.94,94.91,0.0,0,1.166,39.53999999999999,2428,GR86-024-41,5,147.261,Sebring,Race 1
16,2854,2865,2868,14,65.58,2.87,2.87,99.4,89.3,14,0.847,17.526666666666664,2854,GR86-024-41,5,147.261,Sebring,Race 1
17,2869,2879,2887,18,18.33,2.5,2.5,81.81,79.245,19,0.895,21.52105263157895,2887,GR86-024-41,5,147.261,Sebring,Race 1
18,2888,2892,2934,46,2.53,2.5,2.5,84.10000000000001,67.58500000000001,21,0.581,49.74468085106382,2932,GR86-024-41,5,147.261,Sebring,Race 1
1,133,141,143,10,33.12,2.68,2.68,96.64,93.56,11,0.205,8.372727272727273,143,GR86-025-47,4,147.715,Sebring,Race 1
2,144,148,254,110,50.7,2.4,2.4,95.59,52.965,21,0.402,28.970270270270266,144,GR86-025-47,4,147.715,Sebring,Race 1
3,398,415,478,80,71.22,2.61,2.61,87.61,110.055,48,0.285,41.17160493827161,398,GR86-025-47,4,147.715,Sebring,Race 1
4,560,580,615,55,57.370000000000005,2.52,2.52,82.46000000000001,45.55,24,1.093,32.99821428571429,560,GR86-025-47,4,147.715,Sebring,Race 1
5,1011,1084,1128,117,57.51,2.46,2.46,95.51,107.89,76,1.033,50.92118644067796,1011,GR86-025-47,4,147.715,Sebring,Race 1
6,1496,1537,1607,111,23.71,2.51,2.51,91.05,111.335,60,0.302,43.18839285714286,1516,GR86-025-47,4,147.715,Sebring,Race 1
7,1831,1840,1842,11,64.04,2.8000000000000003,2.8000000000000003,97.34,87.06,12,0.491,7.833333333333333,1831,GR86-025-47,4,147.715,Sebring,Race 1
8,1843,1850,1895,52,59.64,2.47,2.47,80.94,80.71000000000001,31,0.292,48.45849056603773,1843,GR86-025-47,4,147.715,Sebring,Race 1
9,2256,2284,2337,81,63.63,2.49,2.49,96.48,90.965,33,0.943,45.18414634146342,2256,GR86-025-47,4,147.715,Sebring,Race 1
10,2387,2398,2404,17,69.86,51.89,51.89,97.37,0.0,0,0.852,29.483333333333334,2387,GR86-025-47,4,147.715,Sebring,Race 1
11,2410,2430,2477,67,73.98,3.0,3.0,99.74,73.815,25,0.928,38.46176470588236,2410,GR86-025-47,4,147.715,Sebring,Race 1
12,2921,2956,3000,79,46.95,2.49,2.49,99.71,87.5,52,0.724,31.69875,2939,GR86-025-47,4,147.715,Sebring,Race 1
